Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoCurva: 1 = Equação, 2 = Tabela
TipoEquacao: 1 = Potência (Q(H) = a(H - h0)^n), 2 = Linear (Q(H) = a0 + a1H), 3 = Parabólica (Q(H) = a0 + a1H + a2H^2), 4 = Cúbica (Q(H) = a0 + a1H + a2H^2 + a3H^3)

Restrições da consulta:
Código da Estação:61078000


EstacaoCodigo;NivelConsistencia;PeriodoValidadeInicio;PeriodoValidadeFim;CotaMaxima;CotaMinima;TipoCurva;NumeroCurva;TipoEquacao;CoefA;CoefH0;CoefN;CoefA0;CoefA1;CoefA2;CoefA3;TabelaPassoCota;TabelaVazao
61078000;2;08/03/1934;12/09/1939;"230,0";"100,0";1;01/02;1;"34,568";"0,77";"1,59";;;;;"1,0";
61078000;2;08/03/1934;12/09/1939;"450,0";"230,0";1;02/02;1;"15,4041";"0,01";"1,789";;;;;"1,0";
61078000;2;13/09/1939;26/11/1948;"55,0";"10,0";1;01/03;1;"29,7431";"-0,32";"1,6";;;;;"1,0";
61078000;2;13/09/1939;26/11/1948;"107,0";"55,0";1;02/03;1;"44,9231";"-0,04";"1,2";;;;;"1,0";
61078000;2;13/09/1939;26/11/1948;"500,0";"107,0";1;03/03;1;"15,4041";"-0,88";"1,789";;;;;"1,0";
61078000;2;27/11/1948;12/09/1953;"126,0";"10,0";1;01/02;1;"28,1289";"-0,3";"1,711";;;;;"1,0";
61078000;2;27/11/1948;12/09/1953;"350,0";"126,0";1;02/02;1;"15,4041";"-0,88";"1,789";;;;;"1,0";
61078000;2;13/09/1953;24/11/1957;"101,0";"20,0";1;01/03;1;"10,5056";"-0,59";"2,5";;;;;"1,0";
61078000;2;13/09/1953;24/11/1957;"200,0";"101,0";1;02/03;1;"34,0328";"0,01";"1,6";;;;;"1,0";
61078000;2;13/09/1953;24/11/1957;"350,0";"200,0";1;03/03;1;"15,4041";"-0,88";"1,789";;;;;"1,0";
61078000;2;25/11/1957;02/04/1959;"350,0";"70,0";1;01/;1;"15,1201";"-0,44";"1,69";;;;;"1,0";
61078000;2;03/04/1959;23/11/1962;"126,0";"0,0";1;01/02;1;"13,6317";"-0,55";"2,5";;;;;"1,0";
61078000;2;03/04/1959;23/11/1962;"450,0";"126,0";1;02/02;1;"15,4041";"-0,88";"1,789";;;;;"1,0";
61078000;2;24/11/1962;19/09/1974;"193,0";"-40,0";1;01/02;1;"31,1133";"-0,49";"1,296";;;;;"1,0";
61078000;2;24/11/1962;19/09/1974;"450,0";"193,0";1;02/02;1;"15,4041";"-0,88";"1,789";;;;;"1,0";
61078000;2;20/09/1974;25/06/1987;"201,0";"70,0";1;01/03;1;"8,8659";"-0,27";"2,2";;;;;"1,0";
61078000;2;20/09/1974;25/06/1987;"277,0";"201,0";1;02/03;1;"9,6673";"-0,36";"2,0";;;;;"1,0";
61078000;2;20/09/1974;25/06/1987;"600,0";"277,0";1;03/03;1;"15,4041";"0,01";"1,789";;;;;"1,0";
61078000;2;26/06/1987;06/11/1990;"400,0";"80,0";1;01/;1;"27,1639";"0,28";"1,46";;;;;"1,0";
61078000;2;07/11/1990;24/03/2015;"215,0";"60,0";1;01/03;1;"34,5814";"0,39";"1,215";;;;;"1,0";
61078000;2;07/11/1990;24/03/2015;"434,0";"215,0";1;02/03;1;"29,6032";"0,34";"1,42";;;;;"1,0";
61078000;2;07/11/1990;24/03/2015;"800,0";"434,0";1;03/03;1;"15,4041";"0,01";"1,789";;;;;"1,0";
61078000;2;25/03/2015;31/12/2023;"195,0";"40,0";1;01/03;1;"24,5198";"0,16";"1,485";;;;;"1,0";
61078000;2;25/03/2015;31/12/2023;"434,0";"195,0";1;02/03;1;"29,6032";"0,34";"1,42";;;;;"1,0";
61078000;2;25/03/2015;31/12/2023;"800,0";"434,0";1;03/03;1;"15,4041";"0,01";"1,789";;;;;"1,0";
61078000;1;01/01/2024;31/12/2025;"200,0";"40,0";1;01/03;1;"24,5783";"0,16";"1,485";;;;;"1,0";
61078000;1;01/01/2024;31/12/2025;"800,0";"434,0";1;03/03;1;"15,4041";"0,01";"1,789";;;;;"1,0";
61078000;1;01/01/2024;31/12/2025;"434,0";"200,0";1;02/03;1;"29,6032";"0,34";"1,42";;;;;"1,0";
