Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MedidorVazao: 1 = ADCP (outros modelos), 2 = ADCP RiverPro de 1200 kHz, 3 = ADCP RiverPro de 600 kHz, 4 = ADCP RiverRay de 600 kHz, 5 = ADCP StreamPro, 6 = ADCP Workhorse Rio Grande de 1200 kHz, 7 = ADCP Workhorse Rio Grande de 300 kHz,
8 = ADCP Workhorse Rio Grande de 600 kHz, 9 = Barco em movimento (moving boat ou smoot), 10 = FlowTracker;11 = Flutuador, 12 = MF Pro;13 = Micromolinete, 14 = Molinete de eixo horizontal, 15 = Molinete de eixo vertical,
16 = RiverSurveyor = M9, 17 = RiverSurveyor = S5, 18 = Volumétrico, 19 = Outros, 20 = Não especificado

Restrições da consulta:
Código da Estação:61078000


EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;tecnico;medidorvazao
61078000;1;03/12/2024;01/01/1900 14:48;1;"103,0";"19,065";"59,943";"29,997";"0,318";"3,2";Carlos José Pereira;16
61078000;1;18/09/2024;01/01/1900 10:15;1;"59,0";"6,721";"49,868";"28,17";"0,135";"2,87";Carlos José Pereira;16
61078000;1;14/06/2024;01/01/1900 15:43;1;"82,0";"12,912";"56,745";"29,03";"0,228";"3,08";CArlos José Pereira;16
61078000;1;15/04/2024;01/01/1900 11:13;1;"112,0";"22,899";"67,42";"31,22";"0,34";"3,35";Carlos José Pereira;16
61078000;2;12/12/2023;01/01/1900 07:23;1;"134,0";"30,7";"71,8";"31,7";"0,428";"2,26";Carlos José Pereira;16
61078000;1;12/12/2023;01/01/1900 07:23;1;"134,0";"30,719";"71,839";"31,74";"0,428";"3,69";Carlos José Pereira;16
61078000;2;27/09/2023;01/01/1900 16:20;1;"73,0";"10,5";"54,9";"29,8";"0,191";"1,84";Carlos José Pereira;16
61078000;1;27/09/2023;01/01/1900 16:20;1;"73,0";"10,465";"54,911";"29,78";"0,901";"3,01";Carlos José Pereira;16
61078000;2;12/07/2023;01/01/1900 10:29;1;"95,0";"16,9";"59,0";"27,9";"0,285";"2,11";Carlos José Pereira;16
61078000;1;12/07/2023;01/01/1900 10:29;1;"95,0";"16,935";"59,033";"27,87";"0,285";"3,62";Carlos José Pereira;16
61078000;2;22/03/2023;01/01/1900 10:05;1;"175,0";"50,7";"83,9";"43,2";"0,605";"1,94";Carlos José Pereira;16
61078000;1;22/03/2023;01/01/1900 10:05;1;"175,0";"50,665";"83,862";"43,24";"0,605";"2,37";Carlos José Pereira;16
61078000;2;12/12/2022;01/01/1900 08:37;1;"168,0";"47,3";"92,9";"42,0";"0,51";"2,21";Carlos José Pereira;16
61078000;1;12/12/2022;01/01/1900 08:37;1;"168,0";"47,345";"92,924";"42,01";"0,51";"2,88";Carlos José Pereira;16
61078000;2;22/09/2022;01/01/1900 08:36;1;"72,0";"10,2";"54,6";"40,9";"0,186";"1,33";Carlos José Pereira;16
61078000;1;22/09/2022;01/01/1900 08:36;1;"72,0";"10,172";"54,614";"40,93";"0,186";"2,22";Carlos José Pereira;16
61078000;2;14/07/2022;01/01/1900 09:31;1;"80,0";"12,6";"54,1";"41,2";"0,233";"1,31";Carlos José Pereira;16
61078000;1;14/07/2022;01/01/1900 09:31;1;"80,0";"12,623";"54,13";"41,2";"0,233";"2,2";Carlos José Pereira;16
61078000;2;21/04/2022;01/01/1900 10:25;1;"108,0";"23,2";"59,3";"38,4";"0,392";"1,54";Carlos Joaé Pereira;16
61078000;1;21/04/2022;01/01/1900 10:25;1;"108,0";"23,242";"59,27";"38,43";"0,392";"2,33";Carlos Joaé Pereira;16
61078000;2;10/12/2021;01/01/1900 15:12;1;"109,0";"22,7";"80,4";"39,0";"0,283";"2,06";Carlos José Pereira;16
61078000;1;10/12/2021;01/01/1900 15:12;1;"109,0";"22,741";"80,42";"38,96";"0,283";"3,52";Carlos José Pereira;16
61078000;2;27/09/2021;01/01/1900 11:32;1;"98,0";"16,4";"60,5";"39,9";"0,27";"1,52";Carlos José Pereira;16
61078000;1;27/09/2021;01/01/1900 11:32;1;"98,0";"16,36";"60,55";"39,88";"0,27";"1,9";Carlos José Pereira;16
61078000;2;20/07/2021;01/01/1900 10:28;1;"76,0";"9,77";"52,8";"34,0";"0,185";"1,55";Carlos José Pereira;16
61078000;1;20/07/2021;01/01/1900 10:28;1;"76,0";"9,766";"52,77";"34,01";"0,185";"1,68";Carlos José Pereira;16
61078000;2;29/09/2020;01/01/1900 08:47;1;"65,0";"8,65";"49,4";"39,2";"0,175";"1,26";Carlos José Pereira;16
61078000;1;29/09/2020;01/01/1900 08:47;1;"65,0";"8,651";"49,4";"39,19";"0,175";"1,59";Carlos José Pereira;16
61078000;2;06/12/2019;01/01/1900 09:25;1;"104,0";"20,3";"93,4";"49,8";"0,218";"1,88";Carlos José Pereira;16
61078000;1;06/12/2019;01/01/1900 09:25;1;"104,0";"20,331";"93,438";"49,76";"0,218";"4,41";Carlos José Pereira;16
61078000;2;10/10/2019;01/01/1900 10:52;1;"72,0";"10,9";"81,7";"39,3";"0,133";"2,08";Carlos José Pereira;16
61078000;1;10/10/2019;01/01/1900 10:52;1;"72,0";"10,874";"81,71";"39,26";"0,133";"4,23";Carlos José Pereira;16
61078000;2;21/06/2019;01/01/1900 10:30;1;"74,0";"10,9";"82,9";"40,2";"0,131";"2,06";Carlos José Pereira;16
61078000;1;21/06/2019;01/01/1900 10:30;1;"74,0";"10,882";"82,891";"40,205";"0,131";"3,32";Carlos José Pereira;16
61078000;2;22/03/2019;01/01/1900 14:14;1;"146,0";"34,3";"100,0";"42,0";"0,342";"2,38";Carlos José Pereira;16
61078000;1;22/03/2019;01/01/1900 14:14;1;"146,0";"34,343";"100,283";"42,043";"0,342";"2,98";Carlos José Pereira;16
61078000;2;19/09/2018;01/01/1900 10:35;1;"70,0";"10,3";"73,0";"40,1";"0,14";"1,82";Carlos José Pereira;16
61078000;2;19/08/2018;01/01/1900 10:30;1;"70,0";"10,3";"73,0";"40,1";"0,14";"1,82";;
61078000;1;19/08/2018;01/01/1900 10:30;1;"70,0";"10,262";"73,03";"40,13";"0,14";"2,94";;
61078000;2;20/06/2018;01/01/1900 07:19;1;"64,0";"8,32";"70,5";"40,3";"0,118";"1,75";;
61078000;1;20/06/2018;01/01/1900 07:19;1;"64,0";"8,324";"70,53";"40,27";"0,991";"2,82";null;0
61078000;2;26/03/2018;01/01/1900 08:40;1;"89,0";"15,1";"78,6";"40,8";"0,192";"1,93";Carlos José Pereira;16
