Data,Dia,Vazao,DataCompleta,Ano,Mes
01/12/2023,1,16.3127,2023-12-01,2023,12
01/11/2023,1,24.1566,2023-11-01,2023,11
01/10/2023,1,12.6385,2023-10-01,2023,10
01/09/2023,1,16.3127,2023-09-01,2023,9
01/08/2023,1,15.6793,2023-08-01,2023,8
01/07/2023,1,18.9266,2023-07-01,2023,7
01/06/2023,1,24.1566,2023-06-01,2023,6
01/05/2023,1,30.5659,2023-05-01,2023,5
01/04/2023,1,44.7726,2023-04-01,2023,4
01/03/2023,1,47.0067,2023-03-01,2023,3
01/02/2023,1,72.5509,2023-02-01,2023,2
01/01/2023,1,161.9923,2023-01-01,2023,1
01/12/2022,1,16.3127,2022-12-01,2022,12
01/11/2022,1,16.3127,2022-11-01,2022,11
01/10/2022,1,23.7951,2022-10-01,2022,10
01/09/2022,1,10.0915,2022-09-01,2022,9
01/08/2022,1,11.2004,2022-08-01,2022,8
01/07/2022,1,13.8291,2022-07-01,2022,7
01/06/2022,1,15.995,2022-06-01,2022,6
01/05/2022,1,19.5996,2022-05-01,2022,5
01/04/2022,1,56.768,2022-04-01,2022,4
01/03/2022,1,37.0313,2022-03-01,2022,3
01/02/2022,1,63.4152,2022-02-01,2022,2
01/01/2022,1,55.8126,2022-01-01,2022,1
01/12/2021,1,14.4718,2021-12-01,2021,12
01/11/2021,1,24.5783,2021-11-01,2021,11
01/10/2021,1,10.6666,2021-10-01,2021,10
01/09/2021,1,9.3072,2021-09-01,2021,9
01/08/2021,1,11.2271,2021-08-01,2021,8
01/07/2021,1,12.9637,2021-07-01,2021,7
01/06/2021,1,17.6458,2021-06-01,2021,6
01/05/2021,1,16.3516,2021-05-01,2021,5
01/04/2021,1,24.2142,2021-04-01,2021,4
01/03/2021,1,39.6527,2021-03-01,2021,3
01/02/2021,1,23.8519,2021-02-01,2021,2
01/01/2021,1,40.842,2021-01-01,2021,1
01/12/2020,1,24.8848,2020-12-01,2020,12
01/11/2020,1,9.0426,2020-11-01,2020,11
01/10/2020,1,8.0097,2020-10-01,2020,10
01/09/2020,1,8.521,2020-09-01,2020,9
01/08/2020,1,9.8437,2020-08-01,2020,8
01/07/2020,1,12.3758,2020-07-01,2020,7
01/06/2020,1,15.7167,2020-06-01,2020,6
01/05/2020,1,17.3192,2020-05-01,2020,5
01/04/2020,1,29.8576,2020-04-01,2020,4
01/03/2020,1,117.4941,2020-03-01,2020,3
01/02/2020,1,21.6642,2020-02-01,2020,2
01/01/2020,1,15.4023,2020-01-01,2020,1
01/12/2019,1,13.5604,2019-12-01,2019,12
01/11/2019,1,12.6686,2019-11-01,2019,11
01/10/2019,1,10.6666,2019-10-01,2019,10
01/09/2019,1,10.1156,2019-09-01,2019,9
01/08/2019,1,8.521,2019-08-01,2019,8
01/07/2019,1,10.3899,2019-07-01,2019,7
01/06/2019,1,12.6686,2019-06-01,2019,6
01/05/2019,1,15.7167,2019-05-01,2019,5
01/04/2019,1,20.3287,2019-04-01,2019,4
01/03/2019,1,43.889,2019-03-01,2019,3
01/02/2019,1,15.995,2019-02-01,2019,2
01/01/2019,1,24.5783,2019-01-01,2019,1
01/12/2018,1,43.4493,2018-12-01,2018,12
01/11/2018,1,10.1156,2018-11-01,2018,11
01/10/2018,1,7.758,2018-10-01,2018,10
01/09/2018,1,6.3039,2018-09-01,2018,9
01/08/2018,1,5.6148,2018-08-01,2018,8
01/07/2018,1,7.0186,2018-07-01,2018,7
01/06/2018,1,8.0097,2018-06-01,2018,6
01/05/2018,1,9.0426,2018-05-01,2018,5
01/04/2018,1,12.0852,2018-04-01,2018,4
01/03/2018,1,29.4695,2018-03-01,2018,3
01/02/2018,1,32.2208,2018-02-01,2018,2
01/01/2018,1,37.8676,2018-01-01,2018,1
01/12/2017,1,15.09,2017-12-01,2017,12
01/11/2017,1,13.8621,2017-11-01,2017,11
01/10/2017,1,12.9637,2017-10-01,2017,10
01/09/2017,1,8.2641,2017-09-01,2017,9
01/08/2017,1,9.0426,2017-08-01,2017,8
01/07/2017,1,10.9457,2017-07-01,2017,7
01/06/2017,1,12.9637,2017-06-01,2017,6
01/05/2017,1,14.1659,2017-05-01,2017,5
01/04/2017,1,14.4718,2017-04-01,2017,4
01/03/2017,1,18.9266,2017-03-01,2017,3
01/02/2017,1,20.6726,2017-02-01,2017,2
01/01/2017,1,15.4023,2017-01-01,2017,1
01/12/2016,1,36.7028,2016-12-01,2016,12
01/11/2016,1,11.7688,2016-11-01,2016,11
01/10/2016,1,8.2641,2016-10-01,2016,10
01/09/2016,1,12.3758,2016-09-01,2016,9
01/08/2016,1,10.9457,2016-08-01,2016,8
01/07/2016,1,14.1659,2016-07-01,2016,7
01/06/2016,1,15.4023,2016-06-01,2016,6
01/05/2016,1,17.9743,2016-05-01,2016,5
01/04/2016,1,31.0319,2016-04-01,2016,4
01/03/2016,1,54.9935,2016-03-01,2016,3
01/02/2016,1,47.4577,2016-02-01,2016,2
01/01/2016,1,19.939,2016-01-01,2016,1
01/12/2015,1,42.2396,2015-12-01,2015,12
01/11/2015,1,8.2641,2015-11-01,2015,11
01/10/2015,1,7.758,2015-10-01,2015,10
01/09/2015,1,7.0186,2015-09-01,2015,9
01/08/2015,1,7.5088,2015-08-01,2015,8
01/07/2015,1,9.0426,2015-07-01,2015,7
01/06/2015,1,10.9457,2015-06-01,2015,6
01/05/2015,1,12.3758,2015-05-01,2015,5
01/04/2015,1,29.4695,2015-04-01,2015,4
01/03/2015,1,12.7537,2015-03-01,2015,3
01/02/2015,1,22.0315,2015-02-01,2015,2
01/01/2015,1,13.1068,2015-01-01,2015,1
01/10/2014,1,,2014-10-01,2014,10
01/09/2014,1,,2014-09-01,2014,9
01/08/2014,1,,2014-08-01,2014,8
01/07/2014,1,,2014-07-01,2014,7
01/06/2014,1,,2014-06-01,2014,6
01/05/2014,1,9.9942,2014-05-01,2014,5
01/04/2014,1,10.3326,2014-04-01,2014,4
01/03/2014,1,12.0529,2014-03-01,2014,3
01/02/2014,1,13.8179,2014-02-01,2014,2
01/01/2014,1,25.9693,2014-01-01,2014,1
01/12/2013,1,73.6493,2013-12-01,2013,12
01/11/2013,1,15.2595,2013-11-01,2013,11
