DataCompleta;Vazao_Media;Vazao_Max;Vazao_Min;Vazao_Total
1934;15,216645484949833;121,3476;4,5673;4549,777
1935;29,808878082191782;122,7207;10,4066;10880,2405
1936;25,559195355191253;138,9982;7,7351;9354,6655
1937;37,881223561643836;187,2633;10,7609;13826,6466
1938;37,15333780821918;181,4983;13,3614;13560,9683
1939;31,497170958904107;144,1289;11,4279;11496,4674
1940;40,70621038251366;194,7919;11,4279;14898,473
1941;26,244521095890413;102,2091;10,7703;9579,2502
1942;26,797644109589044;111,9276;12,1;9781,1401
1943;32,84015534246575;196,4827;13,487;11986,6567
1944;25,220880601092897;113,2527;9,8116;9230,8423
1945;25,132756712328767;302,2932;9,1912;9173,4562
1946;32,48980794520548;366,4818;11,7622;11858,7799
1947;38,58490301369863;238,0569;13,487;14083,489599999999
1948;34,39098469945355;185,608;12,7864;12587,1004
1949;31,90312602739726;113,9179;8,3;11644,641
1950;37,76649369863014;140,4557;11,7373;13784,7702
1951;28,21873671232877;109,298;10,7511;10299,8389
1952;35,828386065573774;205,0332;10,4304;13113,1893
1953;23,900954246575342;100,7033;6,7939;8723,8483
1954;15,98152191780822;131,8112;6,2035;5833,2555
1955;27,048125205479455;150,8457;9,2412;9872,565700000001
1956;32,024739071038255;143,3909;13,0313;11721,0545
1957;50,03898054794521;182,317;19,0955;18264,2279
1958;34,24155232876713;102,3189;19,4307;12498,1666
1959;29,90285808219178;153,4417;8,5555;10914,5432
1960;37,33033114754098;238,0569;3,6449;13662,9012
1961;45,5677197260274;292,1274;3,0581;16632,2177
1962;39,270600273972605;292,1274;3,9616;14333,7691
1963;27,76423780821918;190,5932;2,6617;10133,9468
1964;38,08364890710382;262,5545;4,8944;13938,6155
1965;53,64595369863013;204,1709;15,7026;19580,7731
1966;47,7606802739726;267,3865;12,671;17432,6483
1967;38,12597780821918;186,4348;7,981;13915,9819
1968;22,231778961748635;171,801;5,7016;8136,8311
1969;23,681272328767122;166,2529;4,8944;8643,6644
1970;22,349359452054795;112,5893;6,5357;8157,5162
1971;13,609441643835618;99,0563;1,9933;4967,4462
1972;31,743645901639344;161,5614;6,5357;11618,1744
1973;27,107198356164382;119,9814;5,7016;9894,1274
1974;28,78617589041096;193,949;7,6867;10506,9542
1975;28,685519726027398;167,0405;9,0621;10470,2147
1976;33,70392677595628;183,9593;15,0;12335,6372
1977;31,258079999999996;215,5051;11,3763;11409,1992
1978;32,51633178082192;247,3538;9,4616;11868,4611
1979;36,1671002739726;171,801;14,4852;13200,9916
1980;45,388695901639345;212,8656;11,8281;16612,2627
1981;44,73354602739726;284,1053;13,485;16327,7443
1982;46,802989315068494;218,159;15,2611;17083,0911
1983;81,62452684931507;219,9362;27,3968;29792,9523
1984;28,975078961748633;131,1018;10,5016;10604,8789
1985;41,12946904109589;333,7067;12,7604;15012,2562
1986;41,236493698630134;300,2478;12,0575;15051,3202
1987;42,001979178082195;185,608;14,809;15330,7224
1988;38,51599426229508;172,0033;13,2;14096,8539
1989;39,53505506849315;147,0739;13,5171;14430,2951
1990;26,44265095890411;151,8245;12,5729;9651,5676
1991;39,5592405479452;179,6378;13,1068;14439,1228
1992;46,055208743169395;627,2132;15,9896;16856,2064
1993;31,67757205479452;100,8048;12,4024;11562,3138
1994;33,97871397260274;178,2064;11,3591;12402,2306
1995;29,059585479452053;183,231;9,3237;10606,7487
1996;37,41289043715847;195,6037;12,4024;13693,1179
1997;41,92369835616439;191,9399;14,5355;15302,1499
1998;27,40231698630137;99,599;10,6728;10001,8457
1999;26,792998356164386;112,4707;7,3644;9779,4444
2000;33,007692349726774;186,8451;9,658;12080,8154
2001;17,830396712328767;146,9196;5,494;6508,0948
2002;27,94115506849315;128,3813;5,494;10198,5216
2003;26,47268794520548;173,9327;6,7303;9662,5311
2004;30,275817486338795;132,9462;9,658;11080,9492
2005;34,29763589041096;140,2141;11,015;12518,6371
2006;27,214483561643835;160,6042;8,3339;9933,2865
2007;33,271733698630136;178,2064;7,0461;12144,1828
2008;35,832087158469946;164,0811;12,4024;13114,5439
2009;47,558563287671234;284,1053;17,4675;17358,8756
2010;35,27727134328358;187,5705;11,7051;11817,8859
2011;40,36339753424658;504,4747;11,7051;14732,6401
2012;31,87734863387978;189,0236;9,658;11667,1096
2013;35,42093780821918;210,4615;12,4024;12928,6423
2014;14,123273509933776;48,9015;7,6852;2132,6143
2015;15,500765479452056;62,3645;4,5258;5657,7794
2016;23,692752459016393;198,5494;7,758;8671,5474
2017;15,813689041095891;80,9064;6,0713;5771,9965
2018;16,14135506849315;86,6239;5,3909;5891,5946
2019;18,246035342465753;104,4479;7,2624;6659,8029
2020;23,459151092896178;135,5758;6,0713;8586,0493
2021;21,86637095890411;139,5487;8,7806;7981,2254
2022;28,393186575342465;153,7168;9,0211;10363,5131
2023;35,318452602739725;161,9923;10,6412;12891,2352
