DataMes;Vazao_Media;Vazao_Max;Vazao_Min;Vazao_Total
1934-03-01;21,912391666666664;34,568;15,7525;525,8974
1934-04-01;13,479243333333333;19,1622;11,1195;404,3773
1934-05-01;8,090067741935483;11,4825;5,9308;250,7921
1934-06-01;5,614166666666666;6,2191;5,0968;168,42499999999998
1934-07-01;7,330770967741935;8,0529;5,9308;227,2539
1934-08-01;7,284416129032258;7,7351;6,8108;225,8169
1934-09-01;10,46091;21,8787;6,8108;313,8273
1934-10-01;10,414674193548386;28,7213;5,9308;322,8549
1934-11-01;11,62993;41,9826;4,5673;348,8979
1934-12-01;56,826912903225804;121,3476;16,165;1761,6343
1935-01-01;47,75195483870968;99,6834;25,7045;1480,3106
1935-02-01;85,06015357142857;122,7207;50,5501;2381,6843
1935-03-01;34,608229032258066;53,751;23,763;1072,8551
1935-04-01;41,52486666666667;101,575;24,7267;1245,746
1935-05-01;27,790325806451612;67,9726;18,2866;861,5001
1935-06-01;20,147493333333333;24,7267;16,5816;604,4248
1935-07-01;15,979770967741937;25,7045;13,7497;495,3729
1935-08-01;12,801393548387098;14,9393;10,4066;396,8432
1935-09-01;14,433523333333333;19,1622;11,4825;433,0057
1935-10-01;21,66582258064516;55,7064;11,8498;671,6405
1935-11-01;18,306883333333335;39,6444;12,5972;549,2065
1935-12-01;22,18228387096774;39,0677;12,5972;687,6508
1936-01-01;21,073854838709675;39,6444;11,1195;653,2895
1936-02-01;33,12467931034483;117,2694;7,7351;960,6157000000001
1936-03-01;54,62658064516129;115,9237;35,1193;1693,424
1936-04-01;26,701026666666667;41,9826;21,8787;801,0308
1936-05-01;20,465854838709678;48,0423;15,3439;634,4415
1936-06-01;13,622016666666667;15,3439;12,2214;408,6605
1936-07-01;11,228958064516128;12,2214;10,4066;348,0977
1936-08-01;12,909851612903227;24,7267;10,0568;400,2054
1936-09-01;16,5313;26,6963;11,1195;495,939
1936-10-01;13,1643;27,1974;8,3753;408,0933
1936-11-01;26,64558333333333;70,4958;7,7351;799,3675
1936-12-01;56,500019354838706;138,9982;13,3614;1751,5005999999998
1937-01-01;101,73105161290323;187,2633;54,3999;3153,6626
1937-02-01;58,110889285714286;100,9428;34,02;1627,1049
1937-03-01;36,3802;73,7623;25,7045;1127,7862
1937-04-01;23,695686666666667;32,9338;20,5037;710,8706
1937-05-01;25,356551612903225;57,0243;17,8546;786,0531
1937-06-01;17,70769;25,2138;14,1421;531,2307
1937-07-01;12,249306451612902;14,1421;10,7609;379,7285
1937-08-01;15,320435483870968;16,5816;12,2214;474,9335
1937-09-01;14,08873;16,5816;11,1195;422,6619
1937-10-01;33,97914838709677;90,4614;17,4264;1053,3536
1937-11-01;33,37038666666667;69,4216;20,0528;1001,1116
1937-12-01;82,52094838709678;129,688;33,4752;2558,1494000000002
1938-01-01;62,52006451612903;163,8997;28,7213;1938,122
1938-02-01;62,738125000000004;131,1018;28,7213;1756,6675
1938-03-01;48,88082580645161;111,9276;29,7543;1515,3056
1938-04-01;27,489086666666665;54,3999;22,8136;824,6726
1938-05-01;25,648687096774193;59,6943;20,5037;795,1093
1938-06-01;18,339726666666667;20,9584;16,165;550,1918000000001
1938-07-01;19,36006129032258;21,4167;14,9393;600,1619
1938-08-01;18,736148387096776;22,8136;15,7525;580,8206
1938-09-01;21,388136666666664;50,5501;14,9393;641,6441
1938-10-01;33,73415483870968;104,1216;13,3614;1045,7588
1938-11-01;34,667606666666664;63,0951;22,8136;1040,0282
1938-12-01;73,30599677419356;181,4983;36,7923;2272,4859
1939-01-01;67,63850967741935;136,8244;36,2314;2096,7938
1939-02-01;59,6986;144,1289;41,3934;1671,5608
1939-03-01;31,722396774193548;40,8073;26,1986;983,3943
1939-04-01;29,350696666666668;48,0423;23,2865;880,5209
1939-05-01;21,909329032258064;36,2314;18,2866;679,1892
1939-06-01;17,490843333333334;20,9584;15,7525;524,7253000000001
1939-07-01;17,340929032258064;21,8787;15,7525;537,5688
1939-08-01;15,329193548387096;18,2866;14,1421;475,205
1939-09-01;17,560076666666664;99,0563;13,7497;526,8023
1939-10-01;19,945912903225807;66,7677;12,4415;618,3233
1939-11-01;24,872313333333334;61,5975;11,4279;746,1694
1939-12-01;56,65207419354839;142,6546;22,5026;1756,2143
1940-01-01;68,64265483870969;125,4873;39,0605;2127,9223
1940-02-01;80,6860172413793;163,8997;44,9231;2339,8945
1940-03-01;72,11109032258065;144,8685;42,7755;2235,4438
1940-04-01;36,72491;47,0879;30,7934;1101,7473
1940-05-01;25,84032258064516;31,3002;22,0755;801,05
1940-06-01;20,45645;23,366;18,372;613,6935
1940-07-01;17,050912903225807;18,372;16,0472;528,5783
1940-08-01;14,54338064516129;15,2988;13,8424;450,8448
1940-09-01;15,106876666666667;33,3414;11,4279;453,2063
1940-10-01;19,87493548387097;47,0879;12,1;616,123
1940-11-01;44,097746666666666;113,9179;15,2988;1322,9324
1940-12-01;74,42054193548387;194,7919;27,7817;2307,0368
1941-01-01;67,16847741935484;102,2091;47,0879;2082,2228
1941-02-01;37,447042857142854;55,1524;25,3128;1048,5172
1941-03-01;27,20321612903226;46,0034;22,5026;843,2997
1941-04-01;21,939836666666668;29,2811;17,9764;658,1951
1941-05-01;16,211722580645162;17,9764;15,2988;502,5634
1941-06-01;15,271876666666666;24,3361;13,487;458,1563
1941-07-01;15,780948387096775;24,8236;13,487;489,2094
1941-08-01;11,728203225806451;13,1349;10,7703;363,5743
1941-09-01;20,98;33,3414;10,7703;629,4
1941-10-01;21,923248387096773;43,8471;14,5638;679,6206999999999
1941-11-01;23,664716666666667;55,1524;15,2988;709,9415
1941-12-01;35,95321935483871;57,102;24,8236;1114,5498
1942-01-01;27,224390322580646;45,4627;18,7709;843,9561
1942-02-01;39,16571428571428;111,9276;15,6713;1096,6399999999999
1942-03-01;55,31731935483871;91,0639;32,8291;1714,8369
1942-04-01;28,093619999999998;34,3699;22,9328;842,8086
1942-05-01;23,138306451612905;42,7755;19,9865;717,2875
1942-06-01;19,324326666666664;21,2306;17,1949;579,7298
1942-07-01;17,32591935483871;22,9328;15,2988;537,1035
1942-08-01;13,999409677419354;15,2988;13,1349;433,9817
1942-09-01;13,425976666666665;20,8128;12,1;402,7793
1942-10-01;21,43632258064516;34,3699;12,7864;664,526
1942-11-01;25,582636666666666;54,6697;14,9296;767,4791
1942-12-01;38,064890322580645;90,4614;19,5781;1180,0116
1943-01-01;86,07106129032258;196,4827;43,8471;2668,2028999999998
1943-02-01;53,379599999999996;85,705;42,2414;1494,6288
1943-03-01;49,89873225806451;84,5336;35,9222;1546,8607
1943-04-01;29,70707333333333;35,4035;25,3128;891,2121999999999
1943-05-01;22,63160322580645;25,3128;20,8128;701,5797
1943-06-01;19,68077333333333;22,5026;18,372;590,4232
1943-07-01;16,668709677419354;17,9764;15,2988;516,73
1943-08-01;15,443412903225806;17,9764;13,8424;478,7458
1943-09-01;14,896466666666667;21,6515;13,487;446,894
1943-10-01;23,28957741935484;43,8471;13,8424;721,9769
1943-11-01;21,525489999999998;39,0605;14,2014;645,7647
1943-12-01;41,407670967741936;75,9761;17,9764;1283,6378
1944-01-01;36,60566451612903;75,4199;22,5026;1134,7756
1944-02-01;55,88409310344827;82,79;30,2879;1620,6387
1944-03-01;54,681361290322585;113,2527;31,3002;1695,1222
1944-04-01;30,181996666666667;57,102;23,366;905,4599
1944-05-01;21,324245161290325;26,2958;19,1729;661,0516
1944-06-01;17,863763333333335;19,1729;16,809;535,9129
1944-07-01;15,58243870967742;16,809;14,2014;483,0556
1944-08-01;13,2438;14,2014;12,4415;410,5578
1944-09-01;12,44191;23,366;10,447;373,2573
1944-10-01;13,49354193548387;39,5877;9,8116;418,2998
1944-11-01;15,350023333333333;26,2958;11,7622;460,5007
1944-12-01;17,168070967741937;34,886;11,7622;532,2102
1945-01-01;25,509883870967744;60,0823;11,7622;790,8064
1945-02-01;54,85276785714286;99,6834;28,2801;1535,8775
1945-03-01;30,476832258064515;61,0906;21,6515;944,7818
1945-04-01;24,83439333333333;46,0034;19,5781;745,0318
1945-05-01;17,417477419354842;20,8128;15,6713;539,9418000000001
1945-06-01;16,836100000000002;23,366;14,5638;505,083
1945-07-01;13,099241935483871;14,5638;11,7622;406,0765
1945-08-01;10,684548387096774;11,7622;9,8116;331,221
1945-09-01;10,0419;11,0973;9,1912;301,257
1945-10-01;11,132354838709677;23,366;9,1912;345,103
1945-11-01;26,308609999999998;72,6662;12,7864;789,2583
1945-12-01;62,54897096774194;302,2932;20,3981;1939,0181
1946-01-01;100,7589806451613;366,4818;54,1888;3123,5284
1946-02-01;47,359024999999995;57,102;37,4859;1326,0527
1946-03-01;42,15919032258064;92,8819;32,8291;1306,9349
1946-04-01;38,35835333333333;68,3545;26,2958;1150,7506
1946-05-01;23,352406451612904;26,2958;21,2306;723,9246
1946-06-01;19,759326666666666;21,2306;18,7709;592,7798
1946-07-01;18,499364516129035;22,5026;16,809;573,4803
1946-08-01;14,905883870967742;16,809;13,487;462,0824
1946-09-01;13,631423333333334;30,7934;11,7622;408,9427
1946-10-01;18,58895483870968;34,886;12,4415;576,2576
1946-11-01;26,942243333333334;72,1209;15,6713;808,2673
1946-12-01;25,992858064516128;52,2842;14,5638;805,7786
1947-01-01;43,58281612903225;79,9195;24,3361;1351,0673
1947-02-01;47,825892857142854;88,069;24,3361;1339,125
1947-03-01;110,23823548387097;238,0569;57,102;3417,3853
1947-04-01;43,2813;58,088;33,855;1298,439
1947-05-01;30,119225806451613;33,3414;26,2958;933,696
1947-06-01;25,479766666666666;35,4035;23,366;764,393
1947-07-01;23,715632258064517;36,4422;20,3981;735,1846
1947-08-01;21,76166451612903;50,3664;17,584;674,6116
1947-09-01;22,500223333333334;36,4422;17,9764;675,0067
1947-10-01;19,379593548387096;27,2849;16,809;600,7674
1947-11-01;25,163396666666664;88,069;13,487;754,9019
1947-12-01;49,64231612903226;101,575;22,5026;1538,9118
1948-01-01;46,322038709677415;121,3476;28,7799;1435,9832
1948-02-01;58,27782068965517;131,1018;29,7838;1690,0568
1948-03-01;66,35324193548387;185,608;28,7799;2056,9505
1948-04-01;35,55432333333333;50,9164;27,7817;1066,6297
1948-05-01;25,98291935483871;28,7799;23,366;805,4705
1948-06-01;22,1691;32,3181;19,9865;665,073
1948-07-01;18,390383870967742;19,5781;17,1949;570,1019
1948-08-01;15,644132258064516;19,1729;13,8424;484,9681
1948-09-01;13,824823333333335;16,0472;12,7864;414,7447
1948-10-01;17,5913;19,5781;15,2988;545,3303
1948-11-01;34,79036;109,298;13,8424;1043,7108
1948-12-01;58,32519032258065;135,3837;29,0983;1808,0809000000002
1949-01-01;67,70491935483871;113,9179;29,5881;2098,8525
1949-02-01;69,48166785714285;96,5656;49,4141;1945,4867
1949-03-01;44,1411129032258;72,6662;33,1113;1368,3745
1949-04-01;34,189730000000004;42,913;26,7005;1025,6919
1949-05-01;29,51647741935484;33,1113;27,1732;915,0108
1949-06-01;26,437633333333334;29,0983;23,4888;793,129
1949-07-01;21,78614516129032;23,4888;19,6142;675,3705
1949-08-01;16,475503225806452;19,6142;13,1077;510,7406
1949-09-01;11,823456666666665;13,4601;9,8012;354,70369999999997
1949-10-01;12,010303225806451;18,3877;8,3;372,3194
1949-11-01;12,876093333333333;17,9862;9,8012;386,2828
1949-12-01;38,66705161290322;83,3694;12,074;1198,6786
1950-01-01;64,32443870967742;126,8807;22,6028;1994,0576
1950-02-01;79,36661428571428;113,9179;47,6034;2222,2652
1950-03-01;61,51113870967742;93,4915;42,913;1906,8453
1950-04-01;40,29671666666666;56,2918;33,1113;1208,9015
1950-05-01;30,193448387096772;43,4882;23,0441;935,9969
1950-06-01;23,709139999999998;38,9761;20,8735;711,2742
1950-07-01;18,845058064516127;21,731;16,8038;584,1967999999999
1950-08-01;15,158406451612903;16,4172;13,4601;469,9106
1950-09-01;13,63217;18,3877;12,074;408,9651
1950-10-01;17,564625806451613;38,4266;11,7373;544,5033999999999
1950-11-01;44,97366666666667;140,4557;11,7373;1349,21
1950-12-01;46,73043870967742;69,9578;24,8443;1448,6436
1951-01-01;51,09488064516129;107,9935;24,8443;1583,9413
1951-02-01;57,75383214285714;109,298;39,5289;1617,1073
1951-03-01;48,18602903225807;72,1209;32,5979;1493,7669
1951-04-01;31,54562333333333;40,6441;23,4888;946,3687
1951-05-01;20,68035483870968;23,9372;18,7929;641,091
1951-06-01;17,819209999999998;18,7929;16,4172;534,5763
1951-07-01;15,659354838709678;16,4172;14,5404;485,44
1951-08-01;13,384996774193548;14,5404;12,7592;414,93489999999997
1951-09-01;11,729809999999999;12,4147;11,0759;351,8943
1951-10-01;21,618161290322583;50,0239;10,7511;670,163
